date,exchange_rate
9/29/2023,4.9735
9/28/2023,4.9754
9/27/2023,4.9745
9/26/2023,4.97
9/25/2023,4.968
9/22/2023,4.9686
9/21/2023,4.9708
9/20/2023,4.9716
9/19/2023,4.9698
9/18/2023,4.969
9/15/2023,4.9698
9/14/2023,4.9703
9/13/2023,4.9673
9/12/2023,4.971
9/11/2023,4.9635
9/8/2023,4.963
9/7/2023,4.96
9/6/2023,4.9603
9/5/2023,4.9496
9/4/2023,4.946
9/1/2023,4.9459
8/31/2023,4.942
8/30/2023,4.942
8/29/2023,4.9418
8/28/2023,4.936
8/25/2023,4.939
8/24/2023,4.9358
8/23/2023,4.9408
8/22/2023,4.9376
8/21/2023,4.9406
8/18/2023,4.9448
8/17/2023,4.9385
8/16/2023,4.9358
8/15/2023,4.9395
8/14/2023,4.9418
8/11/2023,4.9407
8/10/2023,4.9432
8/9/2023,4.948
8/8/2023,4.9498
8/7/2023,4.949
8/4/2023,4.953
8/3/2023,4.939
8/2/2023,4.9341
8/1/2023,4.9319
7/31/2023,4.9349
7/28/2023,4.9308
7/27/2023,4.93
7/26/2023,4.9288
7/25/2023,4.9223
7/24/2023,4.924
7/21/2023,4.9367
7/20/2023,4.938
7/19/2023,4.944
7/18/2023,4.938
7/17/2023,4.9414
7/14/2023,4.9439
7/13/2023,4.9433
7/12/2023,4.9495
7/11/2023,4.949
7/10/2023,4.949
7/7/2023,4.9557
7/6/2023,4.9504
7/5/2023,4.9515
7/4/2023,4.9485
7/3/2023,4.9532
6/30/2023,4.9635
6/29/2023,4.9638
6/28/2023,4.9604
6/27/2023,4.961
6/26/2023,4.9561
6/23/2023,4.9538
6/22/2023,4.9631
6/21/2023,4.9625
6/20/2023,4.9629
6/19/2023,4.9588
6/16/2023,4.961
6/15/2023,4.9578
6/14/2023,4.956
6/13/2023,4.9627
6/12/2023,4.9568
6/9/2023,4.9566
6/8/2023,4.953
6/7/2023,4.9586
6/6/2023,4.9592
6/5/2023,4.9653
6/2/2023,4.9622
6/1/2023,4.9645
5/31/2023,4.9695
5/30/2023,4.963
5/29/2023,4.96
5/26/2023,4.9572
5/25/2023,4.9495
5/24/2023,4.9614
5/23/2023,4.972
5/22/2023,4.9737
5/19/2023,4.9783
5/18/2023,4.9708
5/17/2023,4.9605
5/16/2023,4.9478
5/15/2023,4.9375
5/12/2023,4.9318
5/11/2023,4.9322
5/10/2023,4.9219
5/9/2023,4.92
5/8/2023,4.9246
5/5/2023,4.928
5/4/2023,4.9295
5/3/2023,4.9302
5/2/2023,4.9305
4/28/2023,4.9301
4/27/2023,4.939
4/26/2023,4.9391
4/25/2023,4.937
4/24/2023,4.9298
4/21/2023,4.941
4/20/2023,4.9308
4/19/2023,4.9321
4/18/2023,4.9357
4/17/2023,4.9425
4/14/2023,4.9423
4/13/2023,4.9435
4/12/2023,4.9385
4/11/2023,4.9375
4/6/2023,4.9369
4/5/2023,4.9314
4/4/2023,4.933
4/3/2023,4.9367
3/31/2023,4.949
3/30/2023,4.9483
3/29/2023,4.95
3/28/2023,4.9523
3/27/2023,4.9405
3/24/2023,4.9305
3/23/2023,4.9228
3/22/2023,4.9215
3/21/2023,4.9225
3/20/2023,4.9233
3/17/2023,4.9208
3/16/2023,4.9215
3/15/2023,4.9218
3/14/2023,4.9218
3/13/2023,4.9168
3/10/2023,4.9143
3/9/2023,4.915
3/8/2023,4.9113
3/7/2023,4.9178
3/6/2023,4.9205
3/3/2023,4.9235
3/2/2023,4.9223
3/1/2023,4.9174
2/28/2023,4.92
2/27/2023,4.9198
2/24/2023,4.9195
2/23/2023,4.9146
2/22/2023,4.9238
2/21/2023,4.9188
2/20/2023,4.918
2/17/2023,4.9165
2/16/2023,4.9009
2/15/2023,4.9008
2/14/2023,4.901
2/13/2023,4.9031
2/10/2023,4.902
2/9/2023,4.8935
2/8/2023,4.8975
2/7/2023,4.902
2/6/2023,4.9055
2/3/2023,4.902
2/2/2023,4.9025
2/1/2023,4.9117
1/31/2023,4.921
1/30/2023,4.9055
1/27/2023,4.8965
1/26/2023,4.8818
1/25/2023,4.9035
1/24/2023,4.9171
1/23/2023,4.9202
1/20/2023,4.9258
1/19/2023,4.9265
1/18/2023,4.9388
1/17/2023,4.9356
1/16/2023,4.9313
1/13/2023,4.9423
1/12/2023,4.944
1/11/2023,4.9335
1/10/2023,4.9338
1/9/2023,4.9253
1/6/2023,4.9296
1/5/2023,4.9235
1/4/2023,4.9264
1/3/2023,4.931
1/2/2023,4.94
